order_id,date,week,month,division,product_line,material,operator_id,machine_id,shift,planned_qty,actual_qty,good_qty,defect_qty,scrap_qty,rework_qty,defect_rate,yield_rate,std_cycle_time_min,actual_cycle_time_min,cycle_time_variance_pct,promised_lead_days,actual_lead_days,on_time_delivery,downtime_minutes,material_cost_per_unit,labor_cost_per_unit,overhead_per_unit,unit_price,total_production_cost,scrap_cost,rework_cost,revenue,gross_margin
ORD-04310,2024-01-01,1,2024-01,Central,Shaft Components,Steel 4140,OP-010,MCH-03,Swing,75,68,66,2,0,2,0.0294,0.9706,10.0,10.02,0.2,14,12,1,0,8.5,5.84,8.76,30.17,1570.8,0.0,8.76,1991.22,0.2111
ORD-02737,2024-01-01,1,2024-01,North,Shaft Components,Titanium Grade 5,OP-017,MCH-03,Day,100,100,98,2,0,2,0.02,0.98,10.0,9.25,-7.5,3,3,1,0,45.0,5.4,8.1,77.25,5850.0,0.0,8.1,7570.5,0.2273
ORD-00638,2024-01-01,1,2024-01,Central,Shaft Components,Titanium Grade 5,OP-003,MCH-14,Night,150,114,110,4,1,3,0.0351,0.9649,10.0,9.49,-5.1,14,18,0,16,45.0,5.54,8.31,77.11,6708.9,47.77,12.46,8482.1,0.2091
ORD-04620,2024-01-01,1,2024-01,Central,Hydraulic Valves,Bronze C932,OP-003,MCH-08,Night,75,55,54,1,0,1,0.0182,0.9818,18.0,16.03,-10.94,3,3,1,55,22.0,9.35,14.02,63.14,2495.35,0.0,7.01,3409.56,0.2681
ORD-04556,2024-01-01,1,2024-01,South,Precision Bearings,Aluminum 6061,OP-010,MCH-09,Night,100,69,66,3,1,2,0.0435,0.9565,12.5,13.2,5.6,3,4,0,15,12.0,7.7,11.55,39.29,2156.25,15.85,11.55,2593.14,0.1685
ORD-01882,2024-01-01,1,2024-01,South,Hydraulic Valves,Aluminum 6061,OP-018,MCH-12,Night,200,153,147,6,2,4,0.0392,0.9608,18.0,21.74,20.78,5,6,0,0,12.0,12.68,19.02,56.18,6686.1,36.68,38.04,8258.46,0.1904
ORD-00197,2024-01-01,1,2024-01,Central,Housing Units,Aluminum 6061,OP-005,MCH-09,Night,125,88,84,4,2,2,0.0455,0.9545,22.0,20.18,-8.27,5,4,1,31,12.0,11.77,17.66,56.77,3645.84,35.77,17.66,4768.68,0.2355
ORD-00716,2024-01-01,1,2024-01,North,Shaft Components,Aluminum 6061,OP-005,MCH-02,Day,125,107,104,3,1,2,0.028,0.972,10.0,8.21,-17.9,3,2,1,16,12.0,4.79,7.19,30.12,2565.86,14.39,7.19,3132.48,0.1809
ORD-01358,2024-01-01,1,2024-01,Central,Gear Assemblies,Aluminum 6061,OP-019,MCH-10,Night,75,50,46,4,2,2,0.08,0.92,15.0,15.28,1.87,5,4,1,0,12.0,8.91,13.37,51.85,1714.0,32.91,13.37,2385.1,0.2814
ORD-03046,2024-01-01,1,2024-01,North,Shaft Components,Aluminum 6061,OP-002,MCH-09,Night,50,38,37,1,0,1,0.0263,0.9737,10.0,10.73,7.3,10,8,1,0,12.0,6.26,9.39,36.48,1050.7,0.0,4.7,1349.76,0.2216
ORD-04140,2024-01-01,1,2024-01,South,Shaft Components,Aluminum 6061,OP-010,MCH-08,Swing,200,184,178,6,3,3,0.0326,0.9674,10.0,10.33,3.3,3,3,1,0,12.0,6.03,9.04,40.25,4980.88,45.05,13.57,7164.5,0.3048
ORD-02399,2024-01-01,1,2024-01,North,Precision Bearings,Titanium Grade 5,OP-006,MCH-02,Swing,150,146,139,7,2,5,0.0479,0.9521,12.5,14.24,13.92,3,2,1,0,45.0,8.31,12.46,92.98,9602.42,98.31,31.16,12924.22,0.257
ORD-03222,2024-01-02,1,2024-01,South,Precision Bearings,Bronze C932,OP-017,MCH-12,Night,200,128,123,5,1,4,0.0391,0.9609,12.5,14.14,13.12,10,10,1,0,22.0,8.25,12.38,60.9,5456.64,26.12,24.75,7490.7,0.2715
ORD-03719,2024-01-02,1,2024-01,South,Hydraulic Valves,Steel 4140,OP-012,MCH-11,Night,75,57,53,4,1,3,0.0702,0.9298,18.0,17.14,-4.78,5,6,0,0,8.5,10.0,15.0,45.04,1909.5,13.5,22.5,2387.12,0.2001
ORD-03753,2024-01-02,1,2024-01,North,Hydraulic Valves,Titanium Grade 5,OP-004,MCH-10,Night,100,75,72,3,1,2,0.04,0.96,18.0,17.08,-5.11,10,11,0,0,45.0,9.96,14.94,105.55,5242.5,49.98,14.94,7599.6,0.3102
ORD-03111,2024-01-02,1,2024-01,North,Shaft Components,Bronze C932,OP-005,MCH-14,Swing,50,43,42,1,0,1,0.0233,0.9767,10.0,10.48,4.8,5,4,1,0,22.0,6.11,9.17,53.01,1603.04,0.0,4.58,2226.42,0.28
ORD-01359,2024-01-02,1,2024-01,Central,Hydraulic Valves,Titanium Grade 5,OP-008,MCH-09,Night,150,107,103,4,1,3,0.0374,0.9626,18.0,19.08,6.0,3,2,1,0,45.0,11.13,16.7,97.92,7792.81,50.56,25.04,10085.76,0.2273
ORD-04113,2024-01-02,1,2024-01,North,Hydraulic Valves,Stainless 316,OP-001,MCH-09,Swing,75,62,61,1,0,1,0.0161,0.9839,18.0,22.66,25.89,10,6,1,5,18.5,13.22,19.83,75.62,3196.1,0.0,9.92,4612.82,0.3071
ORD-02437,2024-01-03,1,2024-01,Central,Housing Units,Steel 4140,OP-018,MCH-07,Day,100,85,82,3,1,2,0.0353,0.9647,22.0,24.09,9.5,3,4,0,11,8.5,14.05,21.08,59.18,3708.55,15.53,21.08,4852.76,0.2358
